"date" "nazva" "TSP" "SO2" "CO" "NO2" "NO" "H2S" "C6H6O" "NH3" "CH2O"
2014-08-12 "ПСЗ-7" NA 0.01 2 0.057 NA 0.0015 0.002 0.018 0.005
2014-08-13 "ПСЗ-1" NA 0.04 2 0.06 NA 0.0012 0.003 0.032 0.0105
2014-08-13 "ПСЗ-2" NA 0.046 3 0.07 NA 0.0018 0.0028 0.038 0.013
2014-08-13 "ПСЗ-3" NA 0.034 2 0.063 0.043 0.0012 0.0018 0.022 0.0085
2014-08-13 "ПСЗ-6" 0.9 0.025 3 0.063 NA 0.001 0.0012 0.018 0.011
2014-08-13 "ПСЗ-7" NA 0.051 4 0.09 NA 0.002 0.004 0.048 0.02
2014-08-14 "ПСЗ-1" NA 0.038 2 0.065 NA 0.0012 0.0028 0.032 0.0105
2014-08-14 "ПСЗ-2" NA 0.049 2 0.065 NA 0.0015 0.0028 0.04 0.012
2014-08-14 "ПСЗ-3" NA 0.032 2 0.063 0.04 0.0012 0.0018 0.03 0.0075
2014-08-14 "ПСЗ-6" 0.7 0.023 4 0.047 NA 0.001 0.0012 0.028 0.011
2014-08-14 "ПСЗ-7" NA 0.054 4 0.077 NA 0.002 0.003 0.05 0.0205
2014-08-15 "ПСЗ-1" NA 0.02 2 0.035 NA 0.0015 0.0018 0.03 0.0085
2014-08-15 "ПСЗ-2" NA 0.023 2 0.04 NA 0.0018 0.002 0.04 0.0085
2014-08-15 "ПСЗ-3" NA 0.022 2 0.047 0.03 0.0012 0.0012 0.03 0.006
2014-08-15 "ПСЗ-6" 0.9 0.021 2 0.043 NA 0.0012 0.0012 0.025 0.0115
2014-08-15 "ПСЗ-7" NA 0.033 2 0.063 NA 0.0018 0.0025 0.055 0.011
2014-08-16 "ПСЗ-1" NA 0.015 2 0.05 NA 0.0028 0.0015 0.04 0.011
2014-08-16 "ПСЗ-2" NA 0.023 2 0.055 NA 0.0025 0.0023 0.05 0.013
2014-08-16 "ПСЗ-3" NA 0.024 4 0.067 0.047 0.0015 0.0015 0.038 0.012
2014-08-16 "ПСЗ-6" 0.75 0.03 4 0.05 NA 0.0032 0.0025 0.038 0.0125
2014-08-16 "ПСЗ-7" NA 0.023 4 0.087 NA 0.0015 0.0012 0.048 0.0095
2014-08-18 "ПСЗ-1" NA 0.014 2 0.055 NA 0.002 0.0013 0.027 0.0085
2014-08-18 "ПСЗ-2" NA 0.018 3 0.06 NA 0.0023 0.002 0.037 0.009
2014-08-18 "ПСЗ-3" NA 0.012 4 0.06 0.035 0.0017 0.0013 0.023 0.01
2014-08-18 "ПСЗ-6" 0.5 0.031 3 0.095 NA 0.004 0.0047 0.067 0.0205
2014-08-18 "ПСЗ-7" NA 0.013 2 0.05 NA 0.0017 0.0017 0.027 0.0085
2014-08-19 "ПСЗ-1" NA 0.024 4 0.05 NA 0.0015 0.0015 0.04 0.011
2014-08-19 "ПСЗ-2" NA 0.027 4 0.075 NA 0.0018 0.002 0.06 0.0115
2014-08-19 "ПСЗ-3" NA 0.021 3 0.087 0.057 0.0018 0.0012 0.032 0.011
2014-08-19 "ПСЗ-6" 0.8 0.031 4 0.097 NA 0.0023 0.0015 0.05 0.0115
2014-08-19 "ПСЗ-7" NA 0.027 2 0.1 NA 0.0015 0.0025 0.065 0.015
2014-08-20 "ПСЗ-1" NA 0.022 3 0.08 NA 0.0025 0.0028 0.065 0.0115
2014-08-20 "ПСЗ-2" NA 0.034 4 0.095 NA 0.0025 0.003 0.062 0.0145
2014-08-20 "ПСЗ-3" NA 0.022 4 0.083 0.053 0.0018 0.0012 0.04 0.0095
2014-08-20 "ПСЗ-6" 1 0.029 3 0.083 NA 0.0018 0.002 0.08 0.0155
2014-08-20 "ПСЗ-7" NA 0.03 4 0.07 NA 0.0018 0.002 0.075 0.017
2014-08-21 "ПСЗ-1" NA 0.022 3 0.085 NA 0.0023 0.0012 0.053 0.008
2014-08-21 "ПСЗ-2" NA 0.028 4 0.09 NA 0.0028 0.0012 0.065 0.012
2014-08-21 "ПСЗ-3" NA 0.024 2 0.06 0.043 8e-04 2e-04 0.035 0.013
2014-08-21 "ПСЗ-6" 0.8 0.025 4 0.053 NA 0.0015 0.001 0.06 0.016
2014-08-21 "ПСЗ-7" NA 0.042 4 0.097 NA 0.0028 0.0032 0.07 0.028
2014-08-22 "ПСЗ-1" NA 0.023 2 0.08 NA 0.0018 0.0018 0.038 0.0085
2014-08-22 "ПСЗ-2" NA 0.028 4 0.095 NA 0.0028 0.0038 0.062 0.0155
2014-08-22 "ПСЗ-3" NA 0.021 3 0.093 0.067 0.002 0.0015 0.04 0.013
2014-08-22 "ПСЗ-6" 0.95 0.024 4 0.083 NA 0.0025 0.0018 0.042 0.011
2014-08-22 "ПСЗ-7" NA 0.052 6 0.137 NA 0.0062 0.0068 0.078 0.023
2014-08-23 "ПСЗ-1" NA 0.019 2 0.07 NA 0.0015 0.001 0.05 0.007
2014-08-23 "ПСЗ-2" NA 0.018 3 0.08 NA 0.002 0.002 0.065 0.011
2014-08-23 "ПСЗ-3" NA 0.027 3 0.07 0.04 0.0015 0.0015 0.04 0.008
2014-08-23 "ПСЗ-6" 0.6 0.026 3 0.07 NA 0.0035 0.006 0.08 0.01
2014-08-23 "ПСЗ-7" NA 0.019 2 0.055 NA 0.0015 0.001 0.05 0.01
2014-08-26 "ПСЗ-1" NA 0.024 2 0.075 NA 0.002 0.0017 0.043 0.009
2014-08-26 "ПСЗ-2" NA 0.022 4 0.095 NA 0.0027 0.0023 0.073 0.0115
2014-08-26 "ПСЗ-3" NA 0.022 3 0.075 0.055 0.0017 0.0013 0.077 0.0115
2014-08-26 "ПСЗ-6" 0.75 0.032 2 0.105 NA 0.0023 0.0037 0.073 0.0115
2014-08-26 "ПСЗ-7" NA 0.026 4 0.08 NA 0.0017 0.0023 0.067 0.0135
2014-08-27 "ПСЗ-1" NA 0.028 4 0.08 NA 0.0023 0.0018 0.065 0.01
2014-08-27 "ПСЗ-2" NA 0.032 4 0.065 NA 0.0035 0.0035 0.082 0.012
2014-08-27 "ПСЗ-3" NA 0.024 2 0.073 0.053 0.0015 0.0015 0.042 0.0085
2014-08-27 "ПСЗ-6" 0.6 0.027 4 0.063 NA 0.0012 0.001 0.048 0.009
2014-08-27 "ПСЗ-7" NA 0.045 4 0.08 NA 0.0048 0.0045 0.103 0.0205
2014-08-28 "ПСЗ-1" NA 0.03 2 0.065 NA 0.0018 0.0015 0.03 0.011
2014-08-28 "ПСЗ-2" NA 0.03 4 0.08 NA 0.0028 0.0028 0.048 0.015
2014-08-28 "ПСЗ-3" NA 0.024 2 0.047 0.033 0.0015 0.001 0.025 0.0125
2014-08-28 "ПСЗ-6" 0.3 0.031 3 0.097 NA 0.0032 0.0042 0.072 0.0165
2014-08-28 "ПСЗ-7" NA 0.015 3 0.067 NA 0.0023 0.003 0.042 0.0115
2014-08-29 "ПСЗ-1" NA 0.02 2 0.055 NA 0.0015 0.0012 0.032 0.0075
2014-08-29 "ПСЗ-2" NA 0.016 2 0.065 NA 0.0015 0.0015 0.035 0.0125
2014-08-29 "ПСЗ-3" NA 0.014 2 0.067 0.04 0.0012 0.001 0.022 0.0095
2014-08-29 "ПСЗ-6" 0.35 0.022 2 0.057 NA 0.0025 0.0015 0.028 0.0105
2014-08-29 "ПСЗ-7" NA 0.014 3 0.047 NA 0.002 0.0015 0.032 0.008
2014-09-01 "ПСЗ-1" NA 0.014 2 0.045 NA 0.0013 0.002 0.043 0.0115
2014-09-01 "ПСЗ-2" NA 0.012 2 0.06 NA 0.002 0.002 0.023 0.0095
2014-09-01 "ПСЗ-3" NA 0.014 3 0.09 0.055 0.0017 0.0023 0.023 0.007
2014-09-01 "ПСЗ-6" 0.6 0.014 2 0.07 NA 0.002 0.0027 0.02 0.0075
2014-09-01 "ПСЗ-7" NA 0.011 2 0.04 NA 0.0013 0.002 0.027 0.0125
2014-09-02 "ПСЗ-1" NA 0.006 2 0.055 NA 0.0012 0.0025 0.035 0.0075
2014-09-02 "ПСЗ-2" NA 0.016 2 0.04 NA 0.0015 0.002 0.08 0.014
2014-09-02 "ПСЗ-3" NA 0.022 2 0.023 0.01 0.0015 0.002 0.035 0.014
2014-09-02 "ПСЗ-6" 0.55 0.019 1 0.063 NA 0.0018 0.0015 0.03 0.012
2014-09-02 "ПСЗ-7" NA 0.014 2 0.017 NA 0.0018 0.0012 0.035 0.019
2014-09-03 "ПСЗ-1" NA 0.022 2 0.065 NA 8e-04 0.0012 0.065 0.0235
2014-09-03 "ПСЗ-2" NA 0.022 2 0.055 NA 0.0012 0.0012 0.11 0.0105
2014-09-03 "ПСЗ-3" NA 0.02 2 0.03 0.017 0.001 0.0015 0.05 0.0165
2014-09-03 "ПСЗ-6" 0.4 0.03 2 0.107 NA 0.0028 0.003 0.02 0.0225
2014-09-03 "ПСЗ-7" NA 0.019 2 0.047 NA 0.0015 0.0015 0.045 0.009
2014-09-04 "ПСЗ-1" NA 0.02 3 0.045 NA 0.0015 0.0023 0.03 0.009
2014-09-04 "ПСЗ-2" NA 0.021 2 0.04 NA 0.0012 0.0025 0.04 0.0085
2014-09-04 "ПСЗ-3" NA 0.012 2 0.04 0.03 0.0012 0.002 0.057 0.0135
2014-09-04 "ПСЗ-6" 0.65 0.037 2 0.093 NA 0.0025 0.0048 0.1 0.0225
2014-09-04 "ПСЗ-7" NA 0.035 2 0.047 NA 8e-04 0.002 0.022 0.0055
2014-09-05 "ПСЗ-1" NA 0.016 2 0.06 NA 0.0015 0.002 0.028 0.0055
2014-09-05 "ПСЗ-2" NA 0.014 2 0.065 NA 0.002 0.0025 0.032 0.007
2014-09-05 "ПСЗ-3" NA 0.013 2 0.047 0.023 0.0018 0.0015 0.03 0.005
2014-09-05 "ПСЗ-6" 0.55 0.028 2 0.1 NA 0.0025 0.0042 0.07 0.014
2014-09-05 "ПСЗ-7" NA 0.011 2 0.05 NA 0.001 0.001 0.038 0.0045
2014-09-06 "ПСЗ-1" NA 0.016 2 0.075 NA 0.0015 0.002 0.035 0.007
2014-09-06 "ПСЗ-2" NA 0.019 2 0.07 NA 0.002 0.0015 0.042 0.005
2014-09-06 "ПСЗ-3" NA 0.012 2 0.043 0.037 0.0015 0.0015 0.032 0.008
2014-09-06 "ПСЗ-6" 0.75 0.021 2 0.09 NA 0.003 0.0028 0.053 0.0145
2014-09-06 "ПСЗ-7" NA 0.014 2 0.04 NA 0.0018 0.0018 0.028 0.0075
2014-09-08 "ПСЗ-1" NA 0.016 2 0.07 NA 0.001 0.0013 0.037 0.0035
2014-09-08 "ПСЗ-2" NA 0.022 2 0.07 NA 0.0027 0.0017 0.047 0.0095
2014-09-08 "ПСЗ-3" NA 0.017 2 0.06 0.035 0.0017 0.001 0.037 0.007
2014-09-08 "ПСЗ-6" 0.45 0.024 2 0.095 NA 0.0037 0.0033 0.083 0.013
2014-09-08 "ПСЗ-7" NA 0.018 2 0.055 NA 0.0013 3e-04 0.027 0.0055
2014-09-09 "ПСЗ-1" NA 0.014 2 0.07 NA 0.0012 0.001 0.025 0.0075
2014-09-09 "ПСЗ-2" NA 0.014 2 0.06 NA 0.002 0.0015 0.032 0.0085
2014-09-09 "ПСЗ-3" NA 0.016 2 0.057 0.037 0.001 5e-04 0.02 0.0055
2014-09-09 "ПСЗ-6" 0.7 0.04 3 0.057 NA 0.003 0.0042 0.048 0.014
2014-09-09 "ПСЗ-7" NA 0.016 3 0.087 NA 8e-04 8e-04 0.018 0.004
2014-09-10 "ПСЗ-1" NA 0.017 2 0.09 NA 0.0025 0.0015 0.038 0.0075
2014-09-10 "ПСЗ-2" NA 0.02 3 0.08 NA 0.0025 0.0015 0.038 0.0065
2014-09-10 "ПСЗ-3" NA 0.016 2 0.07 0.053 0.0018 0.0015 0.038 0.0065
2014-09-10 "ПСЗ-6" 0.4 0.024 2 0.17 NA 0.0038 0.0025 0.04 0.0095
2014-09-10 "ПСЗ-7" NA 0.018 2 0.11 NA 0.0012 0.0015 0.035 0.007
2014-09-11 "ПСЗ-1" NA 0.02 2 0.075 NA 0.0015 0.0012 0.038 0.0085
2014-09-11 "ПСЗ-2" NA 0.02 2 0.06 NA 0.0015 0.002 0.035 0.006
2014-09-11 "ПСЗ-3" NA 0.019 2 0.05 0.033 0.001 0.001 0.028 0.0065
2014-09-11 "ПСЗ-6" 0.8 0.019 3 0.09 NA 0.0025 0.0032 0.04 0.0145
2014-09-11 "ПСЗ-7" NA 0.015 2 0.063 NA 8e-04 0.001 0.025 0.0055
2014-09-12 "ПСЗ-1" NA 0.014 2 0.05 NA 0.002 0.0015 0.025 0.007
2014-09-12 "ПСЗ-2" NA 0.014 2 0.045 NA 0.0015 0.0012 0.025 0.0095
2014-09-12 "ПСЗ-3" NA 0.013 2 0.055 0.033 5e-04 0.001 0.022 0.0065
2014-09-12 "ПСЗ-6" 0.55 0.02 2 0.077 NA 0.002 0.0023 0.028 0.013
2014-09-12 "ПСЗ-7" NA 0.013 2 0.047 NA 0.001 8e-04 0.015 0.0065
2014-09-13 "ПСЗ-1" NA 0.017 2 0.055 NA 0.0012 0.0012 0.035 0.0055
2014-09-13 "ПСЗ-2" NA 0.018 2 0.06 NA 0.001 0.002 0.042 0.004
2014-09-13 "ПСЗ-3" NA 0.015 2 0.057 0.037 8e-04 0.0018 0.025 0.009
2014-09-13 "ПСЗ-6" 0.85 0.024 2 0.093 NA 0.0023 0.0028 0.035 0.0165
2014-09-13 "ПСЗ-7" NA 0.016 2 0.047 NA 5e-04 8e-04 0.022 0.008
2014-09-15 "ПСЗ-1" NA 0.012 1 0.05 NA 7e-04 3e-04 0.013 0.0035
2014-09-15 "ПСЗ-2" NA 0.014 2 0.05 NA 3e-04 0.001 0.013 0.004
2014-09-15 "ПСЗ-3" NA 0.012 2 0.055 0.03 3e-04 3e-04 0.02 0.006
2014-09-15 "ПСЗ-6" 0.7 0.022 2 0.095 NA 0.0013 0.0027 0.033 0.0105
2014-09-15 "ПСЗ-7" NA 0.012 2 0.045 NA 0.001 7e-04 0.007 0.005
2014-09-16 "ПСЗ-1" NA 0.016 2 0.04 NA 2e-04 0.0012 0.018 0.0085
2014-09-16 "ПСЗ-2" NA 0.015 2 0.04 NA 8e-04 0.0018 0.018 0.0125
2014-09-16 "ПСЗ-3" NA 0.015 2 0.07 0.04 5e-04 5e-04 0.02 0.007
2014-09-16 "ПСЗ-6" 0.8 0.021 2 0.097 NA 0.0035 0.0042 0.062 0.0085
2014-09-16 "ПСЗ-7" NA 0.013 2 0.05 NA 8e-04 5e-04 0.02 0.0055
2014-09-17 "ПСЗ-1" NA 0.01 2 0.05 NA 0.0015 0.0015 0.025 0.005
2014-09-17 "ПСЗ-2" NA 0.012 2 0.06 NA 0.0015 0.0012 0.03 0.0065
2014-09-17 "ПСЗ-3" NA 0.015 2 0.047 0.03 0.0018 0.001 0.028 0.0075
2014-09-17 "ПСЗ-6" 0.7 0.025 3 0.103 NA 0.0035 0.003 0.058 0.014
2014-09-17 "ПСЗ-7" NA 0.01 2 0.043 NA 0.0012 0.001 0.018 0.0055
2014-09-18 "ПСЗ-1" NA 0.018 1 0.03 NA 0.0015 0.0012 0.018 0.007
2014-09-18 "ПСЗ-2" NA 0.012 2 0.035 NA 0.001 0.001 0.015 0.008
2014-09-18 "ПСЗ-3" NA 0.015 1 0.047 0.027 2e-04 8e-04 0.02 0.007
2014-09-18 "ПСЗ-6" 0.75 0.027 2 0.087 NA 0.0032 0.0028 0.04 0.0085
2014-09-18 "ПСЗ-7" NA 0.015 2 0.027 NA 0.0015 8e-04 0.002 0.0045
2014-09-19 "ПСЗ-1" NA 0.016 1 0.03 NA 0.0012 8e-04 0.022 0.005
2014-09-19 "ПСЗ-2" NA 0.016 2 0.05 NA 0.002 0.0012 0.025 0.007
2014-09-19 "ПСЗ-3" NA 0.019 2 0.053 0.033 0.0015 8e-04 0.015 0.0085
2014-09-19 "ПСЗ-6" 0.6 0.025 2 0.057 NA 0.004 0.0032 0.032 0.006
2014-09-19 "ПСЗ-7" NA 0.015 2 0.03 NA 0.0015 5e-04 0.01 0.006
2014-09-20 "ПСЗ-1" NA 0.018 2 0.065 NA 0.0025 0.0015 0.032 0.0075
2014-09-20 "ПСЗ-2" NA 0.021 2 0.05 NA 0.0025 0.0015 0.028 0.009
2014-09-20 "ПСЗ-3" NA 0.016 2 0.057 0.033 0.0018 0.001 0.03 0.009
2014-09-20 "ПСЗ-6" 0.75 0.022 2 0.07 NA 0.0025 0.003 0.058 0.0085
2014-09-20 "ПСЗ-7" NA 0.017 2 0.04 NA 0.0018 0.001 0.02 0.0055
2014-09-22 "ПСЗ-1" NA 0.021 2 0.055 NA 0.0013 0.0033 0.057 0.0075
2014-09-22 "ПСЗ-2" NA 0.02 2 0.08 NA 0.0017 0.003 0.043 0.011
2014-09-22 "ПСЗ-3" NA 0.019 2 0.065 0.05 0.0013 0.0023 0.033 0.006
2014-09-22 "ПСЗ-6" 0.65 0.018 3 0.06 NA 0.0017 7e-04 0.03 0.0085
2014-09-22 "ПСЗ-7" NA 0.026 2 0.065 NA 0.0013 0.0017 0.033 0.006
2014-09-23 "ПСЗ-1" NA 0.002 1 0.065 NA 2e-04 8e-04 0.012 0.0025
2014-09-23 "ПСЗ-2" NA 0.002 1 0.065 NA 8e-04 0.001 0.01 0.002
2014-09-23 "ПСЗ-3" NA 0.001 1 0.04 0.02 5e-04 2e-04 0.012 0.001
2014-09-23 "ПСЗ-6" 0.15 0.001 2 0.073 NA 8e-04 8e-04 0.02 0.0025
2014-09-23 "ПСЗ-7" NA 0.002 1 0.047 NA 0.0012 2e-04 0.012 0.001
2014-09-24 "ПСЗ-1" NA 0 1 0.09 NA 5e-04 2e-04 0.015 0.0015
2014-09-24 "ПСЗ-2" NA 0.001 2 0.08 NA 2e-04 8e-04 0.018 0.0015
2014-09-24 "ПСЗ-3" NA 0 2 0.095 0.053 2e-04 2e-04 0.028 0.001
2014-09-24 "ПСЗ-6" 0.05 0 2 0.093 NA 0.0012 0.0015 0.035 0.002
2014-09-24 "ПСЗ-7" NA 0.001 2 0.1 NA 0.001 0 0.015 0.003
2014-09-25 "ПСЗ-1" NA 0.01 2 0.07 NA 0.0012 5e-04 0.012 0.007
2014-09-25 "ПСЗ-2" NA 0.012 2 0.065 NA 0.001 5e-04 0.028 0.0065
2014-09-25 "ПСЗ-3" NA 0.009 2 0.073 0.047 5e-04 0 0.02 0.0085
2014-09-25 "ПСЗ-6" 0.15 0.008 2 0.07 NA 0.0018 0.0015 0.022 0.0075
2014-09-25 "ПСЗ-7" NA 0.01 2 0.09 NA 0.001 2e-04 0.038 0.006
2014-09-26 "ПСЗ-1" NA 0.015 2 0.1 NA 0.002 0.0015 0.042 0.0095
2014-09-26 "ПСЗ-2" NA 0.019 4 0.11 NA 0.0028 0.002 0.065 0.013
2014-09-26 "ПСЗ-3" NA 0.012 2 0.097 0.06 0.0015 0.0012 0.028 0.0155
2014-09-26 "ПСЗ-6" 0.7 0.02 4 0.163 NA 0.0045 0.004 0.07 0.017
2014-09-26 "ПСЗ-7" NA 0.026 4 0.123 NA 0.003 0.0032 0.06 0.0155
2014-09-27 "ПСЗ-1" NA 0.02 2 0.085 NA 0.0025 0.0023 0.048 0.007
2014-09-27 "ПСЗ-2" NA 0.022 2 0.07 NA 0.0038 0.003 0.08 0.0085
2014-09-27 "ПСЗ-3" NA 0.015 2 0.063 0.043 0.0018 0.0012 0.032 0.008
2014-09-27 "ПСЗ-6" 1.3 0.033 3 0.077 NA 0.004 0.0038 0.075 0.016
2014-09-27 "ПСЗ-7" NA 0.021 3 0.093 NA 0.003 0.003 0.062 0.008
2014-10-01 "ПСЗ-1" NA 0.017 2 0.05 NA 0.0012 8e-04 0.012 0.0075
2014-10-01 "ПСЗ-2" NA 0.018 2 0.075 NA 0.002 0.0015 0.018 0.0055
2014-10-01 "ПСЗ-3" NA 0.02 2 0.053 0.033 0.0012 0 0.02 0.01
2014-10-01 "ПСЗ-6" 0.4 0.023 2 0.07 NA 0.0025 0.0025 0.032 0.009
2014-10-01 "ПСЗ-7" NA 0.021 2 0.04 NA 5e-04 2e-04 0.01 0.005
2014-10-02 "ПСЗ-1" NA 0.02 2 0.05 NA 5e-04 0.0012 0.025 0.007
2014-10-02 "ПСЗ-2" NA 0.02 2 0.055 NA 5e-04 0.0018 0.028 0.006
2014-10-02 "ПСЗ-3" NA 0.015 2 0.047 0.03 5e-04 2e-04 0.025 0.006
2014-10-02 "ПСЗ-6" 0.75 0.029 2 0.077 NA 0.0028 0.0035 0.045 0.007
2014-10-02 "ПСЗ-7" NA 0.021 2 0.033 NA 0.001 5e-04 0.028 0.006
2014-10-03 "ПСЗ-1" NA 0.023 3 0.07 NA 0.0012 0.001 0.028 0.0105
2014-10-03 "ПСЗ-2" NA 0.022 4 0.085 NA 0.0018 0.0015 0.032 0.008
2014-10-03 "ПСЗ-3" NA 0.025 2 0.067 0.047 5e-04 2e-04 0.015 0.006
2014-10-03 "ПСЗ-6" 0.6 0.049 4 0.107 NA 0.0038 0.005 0.045 0.013
2014-10-03 "ПСЗ-7" NA 0.024 2 0.067 NA 0.001 8e-04 0.022 0.01
2014-10-04 "ПСЗ-1" NA 0.02 2 0.055 NA 0.0012 8e-04 0.03 0.0055
2014-10-04 "ПСЗ-2" NA 0.024 2 0.05 NA 8e-04 8e-04 0.025 0.006
2014-10-04 "ПСЗ-3" NA 0.022 2 0.06 0.037 5e-04 5e-04 0.028 0.009
2014-10-04 "ПСЗ-6" 0.85 0.044 2 0.067 NA 0.0023 0.003 0.042 0.0115
2014-10-04 "ПСЗ-7" NA 0.021 2 0.03 NA 2e-04 2e-04 0.022 0.004
2014-10-06 "ПСЗ-1" NA 0.019 2 0.07 NA 0.002 0.0023 0.033 0.008
2014-10-06 "ПСЗ-2" NA 0.022 3 0.055 NA 0.0017 0.002 0.023 0.0065
2014-10-06 "ПСЗ-3" NA 0.022 2 0.055 0.04 0.0017 0.0013 0.03 0.008
2014-10-06 "ПСЗ-6" 0.65 0.026 2 0.06 NA 0.0023 0.0017 0.053 0.008
2014-10-06 "ПСЗ-7" NA 0.024 2 0.05 NA 7e-04 0.0013 0.033 0.0045
2014-10-07 "ПСЗ-1" NA 0.024 3 0.1 NA 0.002 0.0012 0.028 0.008
2014-10-07 "ПСЗ-2" NA 0.032 4 0.1 NA 0.0018 0.0018 0.028 0.009
2014-10-07 "ПСЗ-3" NA 0.023 2 0.05 0.033 8e-04 0.001 0.025 0.005
2014-10-07 "ПСЗ-6" 0.85 0.018 3 0.05 NA 0.001 2e-04 0.025 0.008
2014-10-07 "ПСЗ-7" NA 0.025 2 0.077 NA 8e-04 0.0012 0.035 0.009
2014-10-08 "ПСЗ-1" NA 0.03 2 0.06 NA 0.0023 0.0025 0.055 0.0085
2014-10-08 "ПСЗ-2" NA 0.038 2 0.04 NA 0.0028 0.0023 0.04 0.009
2014-10-08 "ПСЗ-3" NA 0.025 2 0.057 0.033 0.0015 0.0018 0.038 0.0115
2014-10-08 "ПСЗ-6" 0.7 0.027 3 0.11 NA 0.002 0.0015 0.038 0.0125
2014-10-08 "ПСЗ-7" NA 0.032 2 0.047 NA 0.0015 0.0015 0.03 0.0095
2014-10-09 "ПСЗ-1" NA 0.032 3 0.045 NA 0.002 0.0023 0.032 0.009
2014-10-09 "ПСЗ-2" NA 0.038 4 0.08 NA 0.0025 0.003 0.05 0.007
2014-10-09 "ПСЗ-3" NA 0.026 3 0.06 0.033 0.002 0.0018 0.025 0.007
2014-10-09 "ПСЗ-6" 0.55 0.04 5 0.103 NA 0.0025 0.0012 0.03 0.008
2014-10-09 "ПСЗ-7" NA 0.03 2 0.057 NA 0.0018 0.0015 0.032 0.0055
2014-10-10 "ПСЗ-1" NA 0.032 3 0.055 NA 0.0015 0.0025 0.048 0.0055
2014-10-10 "ПСЗ-2" NA 0.037 3 0.07 NA 0.0023 0.0028 0.04 0.0055
2014-10-10 "ПСЗ-3" NA 0.024 2 0.047 0.033 0.0015 0.0015 0.03 0.0085
2014-10-10 "ПСЗ-6" 0.55 0.036 3 0.063 NA 0.0015 0.0015 0.028 0.0105
2014-10-10 "ПСЗ-7" NA 0.025 2 0.06 NA 0.0012 0.0015 0.032 0.008
2014-10-11 "ПСЗ-1" NA 0.041 2 0.095 NA 0.0032 0.0038 0.048 0.008
2014-10-11 "ПСЗ-2" NA 0.042 2 0.1 NA 0.004 0.0038 0.058 0.006
2014-10-11 "ПСЗ-3" NA 0.027 3 0.063 0.047 0.003 0.0023 0.05 0.007
2014-10-11 "ПСЗ-6" 0.45 0.026 4 0.08 NA 0.0023 0.0023 0.042 0.0045
2014-10-11 "ПСЗ-7" NA 0.028 2 0.067 NA 0.0015 0.0028 0.035 0.0095
2014-10-13 "ПСЗ-1" NA 0.044 6 0.1 NA 0.0037 0.004 0.083 0.0115
2014-10-13 "ПСЗ-2" NA 0.044 5 0.08 NA 0.0053 0.0043 0.067 0.009
2014-10-13 "ПСЗ-3" NA 0.034 3 0.07 0.04 0.0033 0.0033 0.037 0.0065
2014-10-13 "ПСЗ-6" 0.8 0.032 4 0.09 NA 0.003 0.0027 0.077 0.0105
2014-10-13 "ПСЗ-7" NA 0.03 2 0.08 NA 0.0047 0.0037 0.07 0.0105
2014-10-14 "ПСЗ-1" NA 0.048 4 0.09 NA 0.0035 0.0038 0.098 0.014
2014-10-14 "ПСЗ-2" NA 0.046 4 0.11 NA 0.0035 0.0042 0.13 0.016
2014-10-14 "ПСЗ-3" NA 0.04 2 0.063 0.047 0.0023 0.0025 0.055 0.0075
2014-10-14 "ПСЗ-6" 0.65 0.029 4 0.077 NA 0.0028 0.0015 0.08 0.011
2014-10-14 "ПСЗ-7" NA 0.033 5 0.077 NA 0.003 0.0038 0.135 0.02
2014-10-15 "ПСЗ-1" NA 0.03 4 0.085 NA 0.0018 0.0023 0.035 0.011
2014-10-15 "ПСЗ-2" NA 0.038 6 0.135 NA 0.003 0.0032 0.035 0.018
2014-10-15 "ПСЗ-3" NA 0.031 2 0.06 0.037 0.0015 0.0018 0.022 0.006
2014-10-15 "ПСЗ-6" 1.1 0.029 2 0.057 NA 8e-04 8e-04 0.038 0.01
2014-10-15 "ПСЗ-7" NA 0.049 6 0.107 NA 0.004 0.0055 0.098 0.03
2014-10-16 "ПСЗ-1" NA 0.02 2 0.04 NA 0.0012 8e-04 0.032 0.0105
2014-10-16 "ПСЗ-2" NA 0.023 3 0.08 NA 0.003 0.002 0.045 0.02
2014-10-16 "ПСЗ-3" NA 0.025 2 0.043 0.027 5e-04 2e-04 0.017 0.0075
2014-10-16 "ПСЗ-6" 0.45 0.023 2 0.04 NA 2e-04 2e-04 0.02 0.008
2014-10-16 "ПСЗ-7" NA 0.057 4 0.087 NA 0.0052 0.0045 0.095 0.03
2014-10-17 "ПСЗ-1" NA 0.018 2 0.04 NA 5e-04 2e-04 0.028 0.0065
2014-10-17 "ПСЗ-2" NA 0.023 3 0.065 NA 0.001 2e-04 0.025 0.01
2014-10-17 "ПСЗ-3" NA 0.018 2 0.04 0.023 2e-04 0 0.02 0.006
2014-10-17 "ПСЗ-6" 0.3 0.019 3 0.047 NA 0.001 5e-04 0.03 0.0095
2014-10-17 "ПСЗ-7" NA 0.02 4 0.067 NA 0.001 0.0015 0.042 0.011
2014-10-18 "ПСЗ-1" NA 0.018 2 0.04 NA 5e-04 5e-04 0.032 0.006
2014-10-18 "ПСЗ-2" NA 0.016 2 0.045 NA 8e-04 2e-04 0.022 0.008
2014-10-18 "ПСЗ-3" NA 0.028 2 0.047 0.033 0 0 0.02 0.0105
2014-10-18 "ПСЗ-6" 0.55 0.03 2 0.077 NA 0.0018 0.0025 0.07 0.0165
