"date" "nazva" "TSP" "SO2" "CO" "NO2" "NO" "H2S" "C6H6O" "NH3" "CH2O"
2014-01-17 "ПСЗ-2" NA 0.028 2 0.025 NA 0.0012 8e-04 0.032 0.008
2014-01-17 "ПСЗ-3" NA 0.03 2 0.03 0.017 8e-04 0 0.035 0.0045
2014-01-17 "ПСЗ-6" 0.5 0.041 2 0.03 NA 8e-04 0.0015 0.038 0.0145
2014-01-17 "ПСЗ-7" NA 0.034 2 0.027 NA 0.0015 8e-04 0.045 0.0105
2014-01-18 "ПСЗ-1" NA 0.028 2 0.055 NA 0.0018 0.002 0.045 0.008
2014-01-18 "ПСЗ-2" NA 0.038 2 0.065 NA 0.0018 0.003 0.045 0.01
2014-01-18 "ПСЗ-3" NA 0.025 2 0.027 0.013 0.0012 0.0018 0.03 0.0055
2014-01-18 "ПСЗ-6" 0.4 0.036 3 0.043 NA 8e-04 8e-04 0.04 0.0095
2014-01-18 "ПСЗ-7" NA 0.031 2 0.077 NA 0.002 0.003 0.06 0.01
2014-01-20 "ПСЗ-1" NA 0.019 2 0.05 NA 0.002 0.0023 0.033 0.005
2014-01-20 "ПСЗ-2" NA 0.018 3 0.06 NA 0.0017 0.0033 0.03 0.008
2014-01-20 "ПСЗ-3" NA 0.025 3 0.045 0.025 0.002 0.0027 0.037 0.006
2014-01-20 "ПСЗ-6" 0.45 0.032 2 0.065 NA 0.0023 0.003 0.033 0.007
2014-01-20 "ПСЗ-7" NA 0.016 2 0.04 NA 7e-04 0.0017 0.017 0.0025
2014-01-21 "ПСЗ-1" NA 0.027 2 0.105 NA 0.0015 0.0028 0.022 0.0035
2014-01-21 "ПСЗ-2" NA 0.022 2 0.055 NA 0.0018 0.0025 0.032 0.004
2014-01-21 "ПСЗ-3" NA 0.033 2 0.073 0.05 0.0015 0.002 0.038 0.0075
2014-01-21 "ПСЗ-6" 0.5 0.037 2 0.07 NA 0.002 0.003 0.03 0.006
2014-01-21 "ПСЗ-7" NA 0.023 2 0.023 NA 2e-04 0.0012 0.025 0.0035
2014-01-22 "ПСЗ-1" NA 0.014 1 0.03 NA 5e-04 8e-04 0.012 0.0025
2014-01-22 "ПСЗ-2" NA 0.014 1 0.03 NA 5e-04 8e-04 0.012 0.0025
2014-01-22 "ПСЗ-3" NA 0.021 2 0.03 0.017 2e-04 5e-04 0.018 0.0045
2014-01-22 "ПСЗ-6" 0.2 0.025 2 0.05 NA 0.002 0.0015 0.03 0.0035
2014-01-22 "ПСЗ-7" NA 0.009 1 0.023 NA 0 0 0.008 0.002
2014-01-23 "ПСЗ-1" NA 0.026 1 0.015 NA 5e-04 0 0.005 0.0025
2014-01-23 "ПСЗ-2" NA 0.026 1 0.015 NA 5e-04 0 0.005 0.0025
2014-01-23 "ПСЗ-3" NA 0.024 2 0.017 0.007 0 0 0.012 0.0025
2014-01-23 "ПСЗ-6" 0.1 0.028 2 0.027 NA 5e-04 5e-04 0.008 0.002
2014-01-23 "ПСЗ-7" NA 0.017 2 0.013 NA 2e-04 0 0.005 5e-04
2014-01-24 "ПСЗ-1" NA 0.025 1 0.025 NA 2e-04 2e-04 0.01 0.0015
2014-01-24 "ПСЗ-2" NA 0.032 2 0.04 NA 5e-04 2e-04 0.022 0.003
2014-01-24 "ПСЗ-3" NA 0.022 2 0.01 0.003 0 0 0.005 0.003
2014-01-24 "ПСЗ-6" 0.15 0.037 2 0.05 NA 8e-04 0.0012 0.028 0.0025
2014-01-24 "ПСЗ-7" NA 0.019 2 0.033 NA 2e-04 0 0.02 0.0015
2014-01-25 "ПСЗ-1" NA 0.02 1 0.035 NA 8e-04 2e-04 0.005 0.002
2014-01-25 "ПСЗ-2" NA 0.034 1 0.025 NA 5e-04 2e-04 0.012 0.002
2014-01-25 "ПСЗ-3" NA 0.027 2 0.047 0.03 0 0 0.025 0.0025
2014-01-25 "ПСЗ-6" 0.6 0.039 1 0.08 NA 0.0015 0.0028 0.038 0.003
